ID,Query,url,identifier,eid,title,creator,publicationName,eIssn,doi,affiliation,
0,Natural Language Processing,https://api.elsevier.com/content/abstract/scopus_id/85180989341,SCOPUS_ID:85180989341,2-s2.0-85180989341,Development of a social and environmental determinants of health informatics maturity model,Espinoza J.C.,Journal of Clinical and Translational Science,20598661,10.1017/cts.2023.691,"Children's Memorial Hospital, Northwestern University Feinberg School of Medicine",
1,Natural Language Processing,https://api.elsevier.com/content/abstract/scopus_id/85186263331,SCOPUS_ID:85186263331,2-s2.0-85186263331,Terminology of e-Oral Health: Consensus Report of the IADR’s e-Oral Health Network Terminology Task Force,Mariño R.J.,BMC Oral Health,14726831,10.1186/s12903-024-03929-z,"Melbourne Dental School, Universidad de la Frontera",
2,Natural Language Processing,https://api.elsevier.com/content/abstract/scopus_id/85186261741,SCOPUS_ID:85186261741,2-s2.0-85186261741,Deep learning infers clinically relevant protein levels and drug response in breast cancer from unannotated pathology images,Liu H.,npj Breast Cancer,23744677,10.1038/s41523-024-00620-y,Nanjing Tech University,
3,Natural Language Processing,https://api.elsevier.com/content/abstract/scopus_id/85186239527,SCOPUS_ID:85186239527,2-s2.0-85186239527,SHARE-Topic: Bayesian interpretable modeling of single-cell multi-omic data,Kazwini N.E.,Genome Biology,1474760X,10.1186/s13059-024-03180-3,Scuola Internazionale Superiore di Studi Avanzati,
4,Natural Language Processing,https://api.elsevier.com/content/abstract/scopus_id/85186239170,SCOPUS_ID:85186239170,2-s2.0-85186239170,A hybrid model for stock price prediction based on multi-view heterogeneous data,Long W.,Financial Innovation,21994730,10.1186/s40854-023-00519-w,"University of Chinese Academy of Sciences, Chinese Academy of Sciences",
5,Natural Language Processing,https://api.elsevier.com/content/abstract/scopus_id/85186232234,SCOPUS_ID:85186232234,2-s2.0-85186232234,SiamFDA: feature dynamic activation siamese network for visual tracking,Gu J.,Scientific Reports,20452322,10.1038/s41598-024-55487-7,Sun Yat-Sen University,
6,Natural Language Processing,https://api.elsevier.com/content/abstract/scopus_id/85186228925,SCOPUS_ID:85186228925,2-s2.0-85186228925,Community detection with Greedy Modularity disassembly strategy,Rustamaji H.C.,Scientific Reports,20452322,10.1038/s41598-024-55190-7,"IPB University, Faculty of Industrial Technology",
7,Natural Language Processing,https://api.elsevier.com/content/abstract/scopus_id/85186227277,SCOPUS_ID:85186227277,2-s2.0-85186227277,Can ChatGPT transform cardiac surgery and heart transplantation?,Clark S.C.,Journal of Cardiothoracic Surgery,17498090,10.1186/s13019-024-02541-0,Freeman Hospital,
8,Natural Language Processing,https://api.elsevier.com/content/abstract/scopus_id/85186210915,SCOPUS_ID:85186210915,2-s2.0-85186210915,What factors will affect the effectiveness of using ChatGPT to solve programming problems? A quasi-experimental study,Jing Y.,Humanities and Social Sciences Communications,26629992,10.1057/s41599-024-02751-w,Zhejiang University of Technology,
9,Natural Language Processing,https://api.elsevier.com/content/abstract/scopus_id/85186200944,SCOPUS_ID:85186200944,2-s2.0-85186200944,Non-equivalence of sub-tasks of the Rey-Osterrieth Complex Figure Test with convolutional neural networks to discriminate mild cognitive impairment,Park J.H.,BMC Psychiatry,1471244X,10.1186/s12888-024-05622-5,Soonchunhyang University,
10,Natural Language Processing,https://api.elsevier.com/content/abstract/scopus_id/85186193365,SCOPUS_ID:85186193365,2-s2.0-85186193365,Getting to know my disease better: The influence of linguistic features of patients’ self-disclosure on physicians’ social support in online health consultation,Jing L.,Electronic Markets,14228890,10.1007/s12525-024-00700-8,Beihang University,
